BookId,Title,Author,Illustrator,BookCoverImageUrl,LargeBookCoverImageUrl
113,The Case of the Lunchtime Detectives,Mur Lafferty,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book113/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book113/lcover.png
114,The Tomato Fight,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book114/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book114/lcover.png
115,Where is Dad,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book115/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book115/lcover.png
116,Dog Party,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book116/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book116/lcover.png
118,Snake Hair,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book118/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book118/lcover.png
119,Messy Sauce,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book119/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book119/lcover.png
120,I Lost the Moon,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book120/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book120/lcover.png
121,The Slippery Soccer Field,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book121/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book121/lcover.png
122,The Case of the Broken Clams,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book122/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book122/lcover.png
123,The Baby Unicorn,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book123/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book123/lcover.png
124,Mustache Day,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book124/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book124/lcover.png
125,Missing Friends,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book125/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book125/lcover.png
126,Bad Pudding,Mia Serrano,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book126/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book126/lcover.png
127,The Headless Man,Dan Caffrey,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book127/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book127/lcover.png
128,How the Dog Got Its Bark,Carly Schuna,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book128/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book128/lcover.png
129,April Fools!,Carly Schuna,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book129/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book129/lcover.png
130,Glomper Goes to the Dentist,Carly Schuna,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book130/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book130/lcover.png
131,Growth Spurt,Carly Schuna,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book131/1cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book131/lcover.png
132,Hide and Seek,Carly Schuna,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book132/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book132/lcover.png
134,I Ate Bugs,Carly Schuna,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book134/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book134/lcover.png
136,Lost in the Woods,Carly Schuna,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book136/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book136/lcover.png
138,My First New Friend,Carly Schuna,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book138/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book138/lcover.png
139,My New Pen Pal,Carly Schuna,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book139/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book139/lcover.png
184,The Missing Girl,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book184/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book184/lcover.png
189,Melted Video Games,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book189/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book189/lcover.png
190,Fireplace Problems,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book190/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book190/lcover.png
200,The Island of the Ring Tailed Bandit,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book200/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book200/lcover.png
903,Saving Big Foot,Elliott Hedman,Elliott Hedman,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book903/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book903/lcover.png
